fecha;año;mes;commodity;fuente;mercado;tipo_precio;precio_tipo_original;precio_unidad;precio_total;campo_precio_original;valor_precio_original;precio_original_texto;moneda;moneda_explicitamente_informada;moneda_inferida;campo_moneda_original;valor_moneda_original;unidad;precio;volumen;volumen_unidad;campo_volumen_original;procedencia;provincia;localidad;zona;lugar_entrega;precio_puesto_en;operacion;condicion_pago;condicion_comercial;frecuencia;archivo_origen;fecha_integracion;observaciones;apto_piloto;apto_dashboard;pagina_origen;id_operacion_sio;muestra_tipo;muestra_paginas;estado_paginacion;precio_cero_flag;precio_cero_tipo;precio_valido_para_serie
2026-09-07;2026;9;Soja;SIO Granos / Secretaría de Agricultura;;Compraventa;Precio Hecho;354;;PRECIO/TN MONTO;354,00;354,00;USD;sí;no;PRECIO/TN MONEDA;U$S;TN;354;60,00;TN;CANT. (TN);CÓRDOBA;CÓRDOBA;;Zona 9/En destino;Zona 9/En destino;;Contrato;Contra entrega;;;SIO_exportar_operaciones_2026-09-07.csv;2026-09-08;moneda informada explícitamente en campo original: USD;sí;no;;;exportacion_manual;1;no_aplica;no;no_aplica;sí
2026-09-07;2026;9;Maíz;SIO Granos / Secretaría de Agricultura;;Compraventa;Precio Hecho;206;;PRECIO/TN MONTO;206,00;206,00;USD;sí;no;PRECIO/TN MONEDA;U$S;TN;206;500,00;TN;CANT. (TN);CÓRDOBA;CÓRDOBA;;Rosario N/En destino;Rosario N/En destino;;Contrato;Contra entrega;;;SIO_exportar_operaciones_2026-09-07.csv;2026-09-08;moneda informada explícitamente en campo original: USD;sí;no;;;exportacion_manual;1;no_aplica;no;no_aplica;sí
2026-09-07;2026;9;Maíz;SIO Granos / Secretaría de Agricultura;;Compraventa;Precio Hecho;207;;PRECIO/TN MONTO;207,00;207,00;USD;sí;no;PRECIO/TN MONEDA;U$S;TN;207;35,00;TN;CANT. (TN);CÓRDOBA;CÓRDOBA;;Rosario S/En destino;Rosario S/En destino;;Contrato;Contra entrega;;;SIO_exportar_operaciones_2026-09-07.csv;2026-09-08;moneda informada explícitamente en campo original: USD;sí;no;;;exportacion_manual;1;no_aplica;no;no_aplica;sí
2026-09-07;2026;9;Maíz;SIO Granos / Secretaría de Agricultura;;Compraventa;Precio Hecho;200;;PRECIO/TN MONTO;200,00;200,00;USD;sí;no;PRECIO/TN MONEDA;U$S;TN;200;150,00;TN;CANT. (TN);CÓRDOBA;CÓRDOBA;;Rosario S/En destino;Rosario S/En destino;;Contrato;Contra entrega;;;SIO_exportar_operaciones_2026-09-07.csv;2026-09-08;moneda informada explícitamente en campo original: USD;sí;no;;;exportacion_manual;1;no_aplica;no;no_aplica;sí
2026-09-07;2026;9;Maíz;SIO Granos / Secretaría de Agricultura;;Compraventa;Precio Hecho;204;;PRECIO/TN MONTO;204,00;204,00;USD;sí;no;PRECIO/TN MONEDA;U$S;TN;204;30,00;TN;CANT. (TN);CÓRDOBA;CÓRDOBA;;Zona 9/En destino;Zona 9/En destino;;Contrato;Contra entrega;;;SIO_exportar_operaciones_2026-09-07.csv;2026-09-08;moneda informada explícitamente en campo original: USD;sí;no;;;exportacion_manual;1;no_aplica;no;no_aplica;sí
2026-09-07;2026;9;Maíz;SIO Granos / Secretaría de Agricultura;;Compraventa;Precio Hecho;190;;PRECIO/TN MONTO;190,00;190,00;USD;sí;no;PRECIO/TN MONEDA;U$S;TN;190;70,00;TN;CANT. (TN);CÓRDOBA;CÓRDOBA;;Rosario S/En destino;Rosario S/En destino;;Contrato;Contra entrega;;;SIO_exportar_operaciones_2026-09-07.csv;2026-09-08;moneda informada explícitamente en campo original: USD;sí;no;;;exportacion_manual;1;no_aplica;no;no_aplica;sí
2026-09-07;2026;9;CEBADA FORR.;SIO Granos / Secretaría de Agricultura;;Compraventa;Precio Hecho;220;;PRECIO/TN MONTO;220,00;220,00;USD;sí;no;PRECIO/TN MONEDA;U$S;TN;220;500,00;TN;CANT. (TN);BUENOS AIRES;BUENOS AIRES;;B.Blanca/En destino;B.Blanca/En destino;;Contrato;Contra entrega;;;SIO_exportar_operaciones_2026-09-07.csv;2026-09-08;"commodity no catalogado; se conserva para revisión; moneda informada explícitamente en campo original: USD";sí;no;;;exportacion_manual;1;no_aplica;no;no_aplica;sí
2026-09-07;2026;9;Maíz;SIO Granos / Secretaría de Agricultura;;Canje;Fijar Precio/Otros;231.35;;PRECIO/TN MONTO;231,35;231,35;USD;sí;no;PRECIO/TN MONEDA;U$S;TN;231.35;325,96;TN;CANT. (TN);SANTA FE;SANTA FE;;Rosario S/En destino;Rosario S/En destino;;Fijación;Anticipado a la entrega;;;SIO_exportar_operaciones_2026-09-07.csv;2026-09-08;moneda informada explícitamente en campo original: USD;sí;no;;;exportacion_manual;1;no_aplica;no;no_aplica;sí
2026-09-07;2026;9;Maíz;SIO Granos / Secretaría de Agricultura;;Canje;Fijar Precio/Otros;231.35;;PRECIO/TN MONTO;231,35;231,35;USD;sí;no;PRECIO/TN MONEDA;U$S;TN;231.35;494,81;TN;CANT. (TN);SANTA FE;SANTA FE;;Rosario S/En destino;Rosario S/En destino;;Fijación;Anticipado a la entrega;;;SIO_exportar_operaciones_2026-09-07.csv;2026-09-08;moneda informada explícitamente en campo original: USD;sí;no;;;exportacion_manual;1;no_aplica;no;no_aplica;sí
2026-09-07;2026;9;Soja;SIO Granos / Secretaría de Agricultura;;Compraventa;Fijar Precio/Prec. Cam.;376.16;;PRECIO/TN MONTO;376,16;376,16;USD;sí;no;PRECIO/TN MONEDA;U$S;TN;376.16;84,97;TN;CANT. (TN);BUENOS AIRES;BUENOS AIRES;;Rosario S/En destino;Rosario S/En destino;;Fijación;Contra entrega;;;SIO_exportar_operaciones_2026-09-07.csv;2026-09-08;moneda informada explícitamente en campo original: USD;sí;no;;;exportacion_manual;1;no_aplica;no;no_aplica;sí
