id_operacion_sio;fecha;año;mes;commodity;fuente;mercado;tipo_precio;operacion;moneda;unidad;precio;precio_original_texto;volumen;volumen_unidad;procedencia;lugar_entrega;condicion_comercial;precio_cero_flag;precio_valido_para_serie;fecha_descarga_snapshot;fecha_actualizacion_dashboard;observaciones
8470157;2026-09-09;2026;9;TRIGO PAN;SIO Granos / Secretaría de Agricultura;;Precio Hecho;Contrato;ARS;TN;360000;"360000,00
$";30,00;TN;SANTA FECASILDA;Zona 8En destino;;no;sí;2026-09-09T10:22:32;2026-09-24;"commodity no catalogado; se conserva para revisión; integración piloto una página GetOperaciones; moneda extraída explícitamente del campo precio original: ARS; snapshot de últimas operaciones; no es histórico completo; observada en snapshot latest"
8470380;2026-09-09;2026;9;TRIGO PAN;SIO Granos / Secretaría de Agricultura;;Precio Hecho;Contrato;USD;TN;240;"240,00
U$S";105,00;TN;BUENOS AIRESMAIPU;QuequenEn destino;;no;sí;2026-09-09T11:17:15;2026-09-24;"commodity no catalogado; se conserva para revisión; integración piloto una página GetOperaciones; moneda extraída explícitamente del campo precio original: USD; snapshot de últimas operaciones; no es histórico completo; observada en snapshot latest; observada en snapshot latest; observada en snapshot latest"
8470379;2026-09-09;2026;9;Maíz;SIO Granos / Secretaría de Agricultura;;Precio Hecho;Contrato;ARS;TN;293100;"293100,00
$";60,00;TN;ENTRE RÍOSALDEA VALLE MARIA;Zona 18En destino;;no;sí;2026-09-09T11:17:15;2026-09-24;"integración piloto una página GetOperaciones; moneda extraída explícitamente del campo precio original: ARS; snapshot de últimas operaciones; no es histórico completo; observada en snapshot latest; observada en snapshot latest; observada en snapshot latest"
8470376;2026-09-09;2026;9;CEBADA FORR.;SIO Granos / Secretaría de Agricultura;;Precio Hecho;Contrato;USD;TN;210;"210,00
U$S";60,00;TN;BUENOS AIRESORENSE;QuequenEn destino;;no;sí;2026-09-09T11:17:15;2026-09-24;"commodity no catalogado; se conserva para revisión; integración piloto una página GetOperaciones; moneda extraída explícitamente del campo precio original: USD; snapshot de últimas operaciones; no es histórico completo; observada en snapshot latest; observada en snapshot latest; observada en snapshot latest"
8470374;2026-09-09;2026;9;Girasol;SIO Granos / Secretaría de Agricultura;;Precio Hecho;Contrato;USD;TN;510;"510,00
U$S";55,00;TN;SAN LUISBAGUAL;Zona 25En destino;;no;sí;2026-09-09T11:17:15;2026-09-24;"integración piloto una página GetOperaciones; moneda extraída explícitamente del campo precio original: USD; snapshot de últimas operaciones; no es histórico completo; observada en snapshot latest; observada en snapshot latest; observada en snapshot latest"
8470370;2026-09-09;2026;9;CEBADA FORR.;SIO Granos / Secretaría de Agricultura;;Precio Hecho;Contrato;USD;TN;210;"210,00
U$S";60,00;TN;BUENOS AIRESORENSE;QuequenEn destino;;no;sí;2026-09-09T11:17:15;2026-09-24;"commodity no catalogado; se conserva para revisión; integración piloto una página GetOperaciones; moneda extraída explícitamente del campo precio original: USD; snapshot de últimas operaciones; no es histórico completo; observada en snapshot latest; observada en snapshot latest; observada en snapshot latest"
8470371;2026-09-09;2026;9;Soja;SIO Granos / Secretaría de Agricultura;;Precio Hecho;Contrato;ARS;TN;556000;"556000,00
$";30,00;TN;SANTA FECARMEN;Zona 8En destino;;no;sí;2026-09-09T11:17:15;2026-09-24;"integración piloto una página GetOperaciones; moneda extraída explícitamente del campo precio original: ARS; snapshot de últimas operaciones; no es histórico completo; observada en snapshot latest; observada en snapshot latest; observada en snapshot latest"
8470369;2026-09-09;2026;9;Maíz;SIO Granos / Secretaría de Agricultura;;Precio Hecho;Contrato;ARS;TN;266893;"266893,20
$";115,00;TN;CÓRDOBASANTA EUFEMIA;Rosario NEn destino;;no;sí;2026-09-09T11:17:15;2026-09-24;"integración piloto una página GetOperaciones; moneda extraída explícitamente del campo precio original: ARS; snapshot de últimas operaciones; no es histórico completo; observada en snapshot latest; observada en snapshot latest; observada en snapshot latest"
8470368;2026-09-09;2026;9;TRIGO PAN;SIO Granos / Secretaría de Agricultura;;Precio Hecho;Contrato;ARS;TN;343000;"343000,00
$";30,00;TN;BUENOS AIRES12 DE OCTUBRE;Zona 7En destino;;no;sí;2026-09-09T11:17:15;2026-09-24;"commodity no catalogado; se conserva para revisión; integración piloto una página GetOperaciones; moneda extraída explícitamente del campo precio original: ARS; snapshot de últimas operaciones; no es histórico completo; observada en snapshot latest; observada en snapshot latest; observada en snapshot latest"
8470365;2026-09-09;2026;9;Soja;SIO Granos / Secretaría de Agricultura;;Precio Hecho;Contrato;ARS;TN;556000;"556000,00
$";30,00;TN;ENTRE RÍOSALDEA VALLE MARIA;Zona 18En destino;;no;sí;2026-09-09T11:17:15;2026-09-24;"integración piloto una página GetOperaciones; moneda extraída explícitamente del campo precio original: ARS; snapshot de últimas operaciones; no es histórico completo; observada en snapshot latest; observada en snapshot latest; observada en snapshot latest"
