commodity;moneda;unidad;tipo_precio;año;mes;periodo_ym;precio_mediana;variacion_mensual_pct;estado
CEBADA CERV.;USD;TN;Compraventa;2026;5;2026-05;230;8.490566;Suba moderada
CEBADA FORR.;ARS;TN;Compraventa;2026;5;2026-05;288750;1.662512;Estable
CEBADA FORR.;USD;TN;Canje;2026;5;2026-05;207;0.97561;Estable
CEBADA FORR.;USD;TN;Compraventa;2026;5;2026-05;207;0.97561;Estable
Girasol;ARS;TN;Canje;2026;5;2026-05;582770;9.954529;Suba moderada
Girasol;ARS;TN;Compraventa;2026;5;2026-05;582960;7.295885;Suba moderada
Girasol;USD;TN;Canje;2026;5;2026-05;380;5.555556;Suba moderada
Girasol;USD;TN;Compraventa;2026;5;2026-05;380;5.341945;Suba moderada
Maíz;ARS;TN;Canje;2026;5;2026-05;254460;2.264644;Estable
Maíz;ARS;TN;Compraventa;2026;5;2026-05;256926.5;1.551976;Estable
Maíz;USD;TN;Canje;2026;5;2026-05;196.13;0.553704;Estable
Maíz;USD;TN;Compraventa;2026;5;2026-05;190;1.604278;Estable
Soja;ARS;TN;Canje;2026;5;2026-05;451352;4.965581;Estable
Soja;ARS;TN;Compraventa;2026;5;2026-05;458300;6.581395;Suba moderada
Soja;USD;TN;Canje;2026;5;2026-05;352.17;3.193952;Estable
Soja;USD;TN;Compraventa;2026;5;2026-05;320.7;0.849057;Estable
Sorgo;ARS;TN;Canje;2026;5;2026-05;262001;1.945914;Estable
Sorgo;ARS;TN;Compraventa;2026;5;2026-05;273195;5.480695;Suba moderada
Sorgo;USD;TN;Canje;2026;5;2026-05;198;-1;Estable
Sorgo;USD;TN;Compraventa;2026;5;2026-05;198;1.538462;Estable
TRIGO CAND.;ARS;TN;Compraventa;2026;5;2026-05;313752.5;8.896467;Suba moderada
TRIGO CAND.;USD;TN;Compraventa;2026;5;2026-05;235;21.415655;Suba fuerte
TRIGO PAN;ARS;TN;Canje;2026;5;2026-05;291300;14.938447;Suba moderada
TRIGO PAN;ARS;TN;Compraventa;2026;5;2026-05;297345;10.949627;Suba moderada
TRIGO PAN;USD;TN;Canje;2026;5;2026-05;223.8;4.134193;Estable
TRIGO PAN;USD;TN;Compraventa;2026;5;2026-05;225;4.651163;Estable
ACEITE SOJA;ARS;TN;Compraventa;2026;6;2026-06;1260000;-0.395257;Estable
ACEITE SOJA;USD;TN;Compraventa;2026;6;2026-06;960;-2.040816;Estable
ARROZ C.L.A;ARS;TN;Canje;2026;6;2026-06;400000;11.111111;Suba moderada
ARROZ C.L.A;ARS;TN;Compraventa;2026;6;2026-06;400000;0.786894;Estable
ARROZ C.L.F;ARS;TN;Canje;2026;6;2026-06;300000;20;Suba moderada
ARROZ C.L.F;ARS;TN;Compraventa;2026;6;2026-06;287874;2.812143;Estable
CEBADA CERV.;USD;TN;Canje;2026;6;2026-06;232.5;3.333333;Estable
CEBADA CERV.;USD;TN;Compraventa;2026;6;2026-06;210;-8.695652;Baja
CEBADA FORR.;ARS;TN;Canje;2026;6;2026-06;235000;4.444444;Estable
CEBADA FORR.;ARS;TN;Compraventa;2026;6;2026-06;285500;-1.125541;Estable
CEBADA FORR.;USD;TN;Canje;2026;6;2026-06;195;-5.797101;Baja
CEBADA FORR.;USD;TN;Compraventa;2026;6;2026-06;198;-4.347826;Estable
Girasol;ARS;TN;Canje;2026;6;2026-06;595140;2.122621;Estable
Girasol;ARS;TN;Compraventa;2026;6;2026-06;602000;3.26609;Estable
Girasol;USD;TN;Canje;2026;6;2026-06;390;2.631579;Estable
Girasol;USD;TN;Compraventa;2026;6;2026-06;400;5.263158;Suba moderada
Maíz;ARS;TN;Canje;2026;6;2026-06;255600;0.448008;Estable
Maíz;ARS;TN;Compraventa;2026;6;2026-06;257045;0.046122;Estable
Maíz;USD;TN;Canje;2026;6;2026-06;182;-7.204405;Baja
Maíz;USD;TN;Compraventa;2026;6;2026-06;180;-5.263158;Baja
Soja;ARS;TN;Canje;2026;6;2026-06;464332;2.875804;Estable
Soja;ARS;TN;Compraventa;2026;6;2026-06;465000;1.461925;Estable
Soja;USD;TN;Canje;2026;6;2026-06;330.53;-6.14476;Baja
Soja;USD;TN;Compraventa;2026;6;2026-06;315;-1.777362;Estable
Sorgo;ARS;TN;Canje;2026;6;2026-06;267969;2.277854;Estable
Sorgo;ARS;TN;Compraventa;2026;6;2026-06;279000;2.124856;Estable
Sorgo;USD;TN;Canje;2026;6;2026-06;195;-1.515152;Estable
Sorgo;USD;TN;Compraventa;2026;6;2026-06;193;-2.525253;Estable
