año;mes;periodo_ym;commodity;moneda;unidad;tipo_precio;fuente;operaciones;precio_promedio;precio_mediana;precio_min;precio_max;volumen_total;precio_ponderado_volumen;dias_con_datos;variacion_mensual_pct;variacion_interanual_pct
2026;4;2026-04;ARROZ C.L.F;ARS;TN;Canje;SIO Granos / Secretaría de Agricultura;113;243362.477876;240000;230000;280000;6847.52;248852.959962;15;0;
2026;4;2026-04;ARROZ C.L.F;ARS;TN;Compraventa;SIO Granos / Secretaría de Agricultura;61;255108.557377;250000;194844;450000;9336.72;256775.151864;19;0;
2026;4;2026-04;CEBADA CERV.;USD;TN;Canje;SIO Granos / Secretaría de Agricultura;1;225;225;225;225;134.28;225;1;4.651163;
2026;4;2026-04;CEBADA CERV.;USD;TN;Compraventa;SIO Granos / Secretaría de Agricultura;213;213.789155;212;180;240;183676.43;216.0969;20;-1.395349;
2026;4;2026-04;CEBADA FORR.;ARS;TN;Canje;SIO Granos / Secretaría de Agricultura;20;222393.65;225000;190000;263981;1484.39;213462.739038;5;;
2026;4;2026-04;CEBADA FORR.;ARS;TN;Compraventa;SIO Granos / Secretaría de Agricultura;73;277450.273973;284028;190;299512;23495.83;284486.871133;19;-0.107971;
2026;4;2026-04;CEBADA FORR.;USD;TN;Canje;SIO Granos / Secretaría de Agricultura;22;209.18;205;180;238.39;3690.34;204.547893;13;0;
2026;4;2026-04;CEBADA FORR.;USD;TN;Compraventa;SIO Granos / Secretaría de Agricultura;432;203.422593;205;167.9;225;109260.33;204.691803;22;0;
2026;4;2026-04;Girasol;ARS;TN;Canje;SIO Granos / Secretaría de Agricultura;232;524079.987069;530010;405112;655270;6921.9;526189.328625;20;-0.694191;
2026;4;2026-04;Girasol;ARS;TN;Compraventa;SIO Granos / Secretaría de Agricultura;2173;543981.161528;543320;360;716815;145689.73;538636.646334;21;0.849196;
2026;4;2026-04;Girasol;USD;TN;Canje;SIO Granos / Secretaría de Agricultura;131;366.542137;360;300;430;19698.32;365.508053;20;0;
2026;4;2026-04;Girasol;USD;TN;Compraventa;SIO Granos / Secretaría de Agricultura;2396;369.950543;360.73;60;445;413252.16;375.575519;25;0.202778;
2026;4;2026-04;Maíz;ARS;TN;Canje;SIO Granos / Secretaría de Agricultura;1250;244378.216;248825;183;282162;109695.5;247946.339023;26;2.040189;
2026;4;2026-04;Maíz;ARS;TN;Compraventa;SIO Granos / Secretaría de Agricultura;9519;251573.957043;253000;165;475000;1799825.47;253468.45413;26;4.050997;
2026;4;2026-04;Maíz;USD;TN;Canje;SIO Granos / Secretaría de Agricultura;1430;198.521406;195.05;147;363.55;441231.21;199.697646;22;2.657895;
2026;4;2026-04;Maíz;USD;TN;Compraventa;SIO Granos / Secretaría de Agricultura;5684;188.852753;187;136.45;1000;3216345.99;188.905327;26;1.081081;
2026;4;2026-04;Soja;ARS;TN;Canje;SIO Granos / Secretaría de Agricultura;949;429780.377239;430000;320;526904;62187.84;429138.759875;24;-8.510638;
2026;4;2026-04;Soja;ARS;TN;Compraventa;SIO Granos / Secretaría de Agricultura;12335;429005.703694;430000;185;564426;1727913.16;433450.601332;28;-9.473684;
2026;4;2026-04;Soja;USD;TN;Canje;SIO Granos / Secretaría de Agricultura;1044;340.608793;341.27;190.77;445;228098.35;333.14164;20;0.468088;
2026;4;2026-04;Soja;USD;TN;Compraventa;SIO Granos / Secretaría de Agricultura;1979;315.776422;318;185;823;1062458.87;316.901641;23;-2.153846;
2026;4;2026-04;Sorgo;ARS;TN;Canje;SIO Granos / Secretaría de Agricultura;64;250930.09375;257000;195;272500;5837.77;255821.990291;19;2.811926;
2026;4;2026-04;Sorgo;ARS;TN;Compraventa;SIO Granos / Secretaría de Agricultura;268;252568.645522;259000;26000;277300;34594.93;245697.667603;21;-0.956023;
2026;4;2026-04;Sorgo;USD;TN;Canje;SIO Granos / Secretaría de Agricultura;20;200.1035;200;190;216.72;2232;198.9084;14;1.010101;
2026;4;2026-04;Sorgo;USD;TN;Compraventa;SIO Granos / Secretaría de Agricultura;370;195.970568;195;148.84;310;87029.62;197.236077;22;2.631579;
2026;4;2026-04;TRIGO CAND.;ARS;TN;Canje;SIO Granos / Secretaría de Agricultura;2;263902.5;263902.5;254005;273800;82.1;255680.70341;2;;
2026;4;2026-04;TRIGO CAND.;ARS;TN;Compraventa;SIO Granos / Secretaría de Agricultura;30;299718.1;288120;256000;408390;12034.27;292484.195158;11;3.56578;
