fecha;commodity;operacion;tipo_precio;moneda;unidad;precio;precio_original_texto;campo_precio_original;volumen;volumen_unidad;procedencia;lugar_entrega;condicion_comercial;precio_cero_tipo;observaciones;archivo_origen
2026-09-07;CEBADA CERV.;Contrato;Compraventa;Sin especificar;TN;0;0;PRECIO/TN MONTO;20000,00;TN;BUENOS AIRES;Zona 2/En destino;;cero_explicito;"commodity no catalogado; se conserva para revisión; precio cero clasificado como cero_explicito; excluido de series de precios; moneda no informada explícitamente en endpoint GetOperaciones; no se infiere del valor original";SIO_exportar_operaciones_2026-09-07.csv
2026-09-07;TRIGO PAN;Contrato;Compraventa;Sin especificar;TN;0;0;PRECIO/TN MONTO;207,83;TN;CÓRDOBA;Zona 8/En destino;;cero_explicito;"commodity no catalogado; se conserva para revisión; precio cero clasificado como cero_explicito; excluido de series de precios; moneda no informada explícitamente en endpoint GetOperaciones; no se infiere del valor original";SIO_exportar_operaciones_2026-09-07.csv
2026-09-07;Maíz;Contrato;Compraventa;Sin especificar;TN;0;0;PRECIO/TN MONTO;131,86;TN;ENTRE RÍOS;Rosario S/En destino;;cero_explicito;"precio cero clasificado como cero_explicito; excluido de series de precios; moneda no informada explícitamente en endpoint GetOperaciones; no se infiere del valor original";SIO_exportar_operaciones_2026-09-07.csv
2026-09-07;Maíz;Contrato;Compraventa;Sin especificar;TN;0;0;PRECIO/TN MONTO;32,39;TN;SANTA FE;Zona 8/En destino;;cero_explicito;"precio cero clasificado como cero_explicito; excluido de series de precios; moneda no informada explícitamente en endpoint GetOperaciones; no se infiere del valor original";SIO_exportar_operaciones_2026-09-07.csv
2026-09-07;Soja;Rectificación;Compraventa;Sin especificar;TN;0;0;PRECIO/TN MONTO;300,00;TN;CÓRDOBA;Zona 9/En destino;;operacion_sin_precio;"precio cero clasificado como operacion_sin_precio; excluido de series de precios; moneda no informada explícitamente en endpoint GetOperaciones; no se infiere del valor original";SIO_exportar_operaciones_2026-09-07.csv
2026-09-07;Soja;Contrato;Compraventa;Sin especificar;TN;0;0;PRECIO/TN MONTO;498,80;TN;CÓRDOBA;Cordoba/En destino;;cero_explicito;"precio cero clasificado como cero_explicito; excluido de series de precios; moneda no informada explícitamente en endpoint GetOperaciones; no se infiere del valor original";SIO_exportar_operaciones_2026-09-07.csv
2026-09-07;Soja;Contrato;Compraventa;Sin especificar;TN;0;0;PRECIO/TN MONTO;498,80;TN;CÓRDOBA;Cordoba/En destino;;cero_explicito;"precio cero clasificado como cero_explicito; excluido de series de precios; moneda no informada explícitamente en endpoint GetOperaciones; no se infiere del valor original";SIO_exportar_operaciones_2026-09-07.csv
2026-09-07;Soja;Contrato;Compraventa;Sin especificar;TN;0;0;PRECIO/TN MONTO;199,52;TN;CÓRDOBA;Zona 9/En destino;;cero_explicito;"precio cero clasificado como cero_explicito; excluido de series de precios; moneda no informada explícitamente en endpoint GetOperaciones; no se infiere del valor original";SIO_exportar_operaciones_2026-09-07.csv
2026-09-07;Maíz;Contrato;Compraventa;Sin especificar;TN;0;0;PRECIO/TN MONTO;16,09;TN;SANTA FE;Rosario S/En destino;;cero_explicito;"precio cero clasificado como cero_explicito; excluido de series de precios; moneda no informada explícitamente en endpoint GetOperaciones; no se infiere del valor original";SIO_exportar_operaciones_2026-09-07.csv
2026-09-07;Maíz;Contrato;Canje;Sin especificar;TN;0;0,00;PRECIO/TN MONTO;45,00;TN;SANTA FE;Rosario N/En destino;;cero_explicito;"precio cero clasificado como cero_explicito; excluido de series de precios; moneda no informada explícitamente en endpoint GetOperaciones; no se infiere del valor original";SIO_exportar_operaciones_2026-09-07.csv
